"Species","Start_time","End_time","Error","Num_presences"
"Abies concolor","2024-08-22 09:34:22","2024-08-22 09:34:22",NA,10000
"Canis lupus","2024-08-22 09:35:02","2024-08-22 09:35:02",NA,10000
