"Species","Start_time","End_time","Error","Num_presences"
"Abies concolor","2024-08-22 08:37:58","2024-08-22 08:37:58",NA,10000
"Canis lupus","2024-08-22 08:38:35","2024-08-22 08:38:35",NA,10000
